q1,q2,q3
0,0,0
4.73235610177624e-06,3.75586349021795e-06,1.50239407537001e-06
3.74274830561268e-05,2.97045518384831e-05,1.18822057326717e-05
0.000124870803912597,9.9104480586476e-05,3.96430767166667e-05
0.000292581358322881,0.000232208992313243,9.28866065599276e-05
0.000564831598166825,0.000448282067555095,0.000179318637155257
0.000964667183178421,0.000765614035725504,0.000306255537327216
0.00151392677657181,0.00120153728603567,0.000480630487403433
0.00223326184066728,0.00177244197841508,0.000708999763786355
0.00314215643251727,0.00249379175443076,0.000997549023525668
0.00425894699953236,0.00338013944820759,0.00135209958888871
0.00560084217510728,0.00444514279734975,0.00177811473193379
0.00718394257424691,0.00570158015385891,0.00228070595908014
0.00902326058919227,0.00716136619505603,0.00286463929568104
0.0111327401850465,0.00883556763450066,0.00353434157059485
0.013525276695401,0.0107344189329119,0.00429390670075658
0.0162127366179611,0.0128673380090871,0.00514710197574986
0.0192059774101724,0.0152429419508242,0.00609737434237911
0.0225148672848468,0.0178690627258395,0.00714785668924023
0.026148305005788,0.0207527628926902,0.00830137413129273
0.0301142396834181,0.0239003513116924,0.00956045029443175
0.0344196905704033,0.0273173988558428,0.0109273136000592
0.0390707668572798,0.0310087541217385,0.0124039035496564
0.0440726874680802,0.0349785591404967,0.0139918770093543
0.0494298008559589,0.0392302650886758,0.0156926144945064
0.0551456047988188,0.0437666479991938,0.0175072264542604
0.0612227661949367,0.0485898244722511,0.019436559556129
0.0676631408585895,0.0537012673862485,0.0214812029705624
0.0744677933156805,0.0591018216087082,0.0236414946555199
0.0816370165993649,0.0647917197071939,0.0259175276410408
0.0891703520456761,0.0707705976602309,0.0283091563138178
0.0970666090891518,0.0770375105682268,0.0308160027017668
0.105323885058459,0.0835909483643904,0.0334374627585996
0.113939584972023,0.0904288515256537,0.0361727126483957
0.122910441333648,0.0975486267835906,0.0390207150301736
0.13223253392815,0.104947162835337,0.0419802253424626
0.141901309616975,0.112620846054513,0.0450497980878746
0.151911602133833,0.12056557620214,0.0482277931176758
0.162257651880318,0.128776782137563,0.0515123819163579
0.172933125721537,0.137249437529371,0.054901553886211
